,question,answer,query_duration,answer_present,average_precision
546,when did the mayflower first come to america,1620,22,1,1.0
547,which is the nearest railway station from chennai airport,Tirusulam railway station,14,1,1.0
548,when does the federal budget year begin and end,beginning October 1 and ending on September 30 of the year following,8,0,0.0
549,who sang my heart beats like a drum,ATC,17,1,1.0
550,who wrote the song all i need is the air that i breathe,Mike Hazlewood,35,1,1.0
551,who wrote the song all i need is the air that i breathe,Albert Hammond,25,1,1.0
552,when was top of the lake china girl made,2017,23,1,1.0
553,who is the actor that played doctor strange,Benedict Cumberbatch,19,1,1.0
554,what does the father son and the holy spirit mean,The Christian doctrine of the Trinity,28,0,0.0
555,which law in india regulates the business contracts,Indian contract law,21,1,1.0
556,what is the national anthem of sri lanka,Sri Lanka Matha,12,1,1.0
557,when did the three strikes law take effect,"March 7 , 1994",25,1,1.0
558,who came up with the teenage mutant ninja turtles,Peter Laird,8,1,1.0
559,who came up with the teenage mutant ninja turtles,Kevin Eastman,11,1,1.0
560,who made my little pony friendship is magic,Lauren Faust,15,1,1.0
561,where is the queen mary docked in california,in Long Beach,15,1,1.0
562,who does lou end up with on heartland,Mitch,10,1,1.0
563,where is the new tv series yellowstone filmed,Spanish Fork,11,1,1.0
564,where is the new tv series yellowstone filmed,"Darby , Montana",13,1,1.0
565,where is the new tv series yellowstone filmed,"Park City , Utah",33,1,1.0
566,where is the new tv series yellowstone filmed,Salt Flats,23,1,1.0
567,how long dose it take for hair to grow,6 inches per year .,14,0,0.0
568,which is the largest fresh water lake in north east india,Loktak Lake,18,0,0.0
569,who played nova on planet of the apes,Linda Melson Harrison,11,0,0.0
570,which is the main purpose of a vision statement,discussing where a company aims to be in the future,11,1,1.0
571,when did the concept of sustainable development come into existence,1987,21,1,1.0
572,distance from las vegas to red wood forest,15 miles,20,0,0.0
573,the real story of the von trapp family book,The Story of the Trapp Family Singers,12,1,1.0
574,when does the eagle fly at auburn games,prior to the start of football games,22,1,1.0
575,is there going to be another season of attack on titan,a third season is scheduled to be released in July 2018,18,1,1.0
576,what potion did harry potter take to get slughorn's memories,Felix Felicis,15,1,1.0
577,speed a rocket has to be accelerated to in order to launch a satellite into orbit of the earth,the rocket must impart to the payload a delta - v of about 9.3 -- 10 km / s,32,1,1.0
578,what is the tigers name off of aladdin,Rajah,29,1,1.0
579,where is the heart's natural pacemaker located,sinoatrial ( SA ) node,11,0,0.0
580,who does lex luthor created in batman vs superman,a genetically engineered monster with DNA from both Zod 's body and his own blood,25,0,0.0
581,who's going to be in the college championship,Georgia Bulldogs,7,0,0.0
582,who's going to be in the college championship,Alabama Crimson Tide,7,0,0.0
583,who played hal in malcolm in the middle,Bryan Lee Cranston,29,0,0.0
584,who was the child who played little ricky on i love lucy,Keith Thibodeaux,20,0,0.0
585,when did world war 2 start in asia,1 September 1939,24,0,0.0
586,who does the song spirit in the sky,Norman Greenbaum,24,1,1.0
587,who is assigned to take hamlet to england,Guildenstern,25,1,1.0
588,who is assigned to take hamlet to england,Rosencrantz,5,1,1.0
589,what kind of animal is boots from dora,anthropomorphic monkey,8,1,1.0
590,where is the republic day of india celebrated,"in the national capital , New Delhi , at the Rajpath before the President of India",14,1,1.0
591,how long is the legend of korra game,about four to six hours,5,0,0.0
592,which section of the kidney does the glomerulus belong to,the beginning of a nephron,14,1,1.0
593,where is longitudinal growth occurring in long bones,in the epiphyseal plate,35,0,0.0
594,when will the new predator movie be released,"September 14 , 2018",7,1,1.0
595,who is the actor that plays jesus on walking dead,Thomas Payne,18,0,0.0
596,when was the last time collingwood played finals,2013,17,1,1.0
597,when did automatic weapons become legal in america,"September 13 , 2004",31,0,0.0
598,which country was invited to the london olympics 1948 but did not attend,Soviet Union,12,0,0.0
599,where was the fa cup final played before wembley,Stamford Bridge,26,1,1.0
600,where does the constitution say separation of church and state,First Amendment to the Constitution of the United States,8,0,0.0
601,where does the show southern charm take place,"Charleston , South Carolina",20,1,1.0
602,who played willie lopez in the movie ghost,Rick Aviles,8,0,0.0
603,where was the white man's burden published,The New York Sun,12,1,1.0
604,4. what does c stand for in case of disk scheduling algorithms,Circular Elevator Algorithm,22,0,0.0
605,what harry potter movie is after prisoner of azkaban,Harry Potter and the Goblet of Fire,10,1,1.0
606,who sings the nfl thursday night football song,members of the orchestra from the Broadway musical Hamilton,38,1,1.0
607,who sings the nfl thursday night football song,Pentatonix,11,1,1.0
608,when do they play sweet caroline at the red sox games,in the middle of the eighth inning,25,1,1.0
609,who played barry in close encounters of the third kind,Cary Guffey,13,1,1.0
610,who plays the music for game of thrones,Ramin Djawadi,10,1,1.0
611,what is the purpose of online shopping websites,allows consumers to directly buy goods or services from a seller over the Internet using a web browser,7,1,1.0
612,when did the yankees become a baseball team,after the 1902 season,17,0,0.0
613,after complete oxidation of a glucose molecule how many number of atp molecules are formed,2 molecules ATP,11,0,0.0
614,what is the name of the chameleon in tangled,Pascal,12,1,1.0
615,how much cash do you get in monopoly,"$1,500 ( or 1,500 of a localized currency )",20,1,1.0
616,how many miles out to sea is international waters,12 nautical miles,31,1,1.0
617,who wrote the song here i am lord,Dan Schutte,18,1,1.0
618,when does lori find out she is pregnant,the sixth episode of the second season,29,0,0.0
619,according to it's long running tourism slogan virginia is for whom,Lovers,21,1,1.0
620,when did canada gain their independence from britain,1982,30,1,1.0
621,when will the 2018 nhl schedule be released,released on June 21,15,1,1.0
622,when did university of maryland win the national championship,2002,20,1,1.0
623,who sang it's the last song i'll ever write for you,David Cook,29,1,1.0
624,how many sets of twins do the duggars have,twice with twins,7,1,1.0
625,who goes first in chess black or white,White,12,1,1.0
626,what state is area code 978 in usa,Massachusetts,29,1,1.0
627,actor who plays king george in the crown,Jared Francis Harris,6,0,0.0
628,how many seats does anc have in parliament 2016,249,11,1,1.0
629,where do the cuts of steak come from,pieces of meat initially separated from the carcass during butchering,18,0,0.0
630,when does a baby lose their startle reflex,3 or 4 months of age,20,1,1.0
631,who narrates a song of ice and fire,Roy Dotrice,20,0,0.0
632,who plays wyatt on the bold and the beautiful,Darin Lee Brooks,18,0,0.0
633,how many state representatives are there in ohio,99,6,1,1.0
634,who has home court advantage for nba finals,the team with the better regular season record,29,0,0.0
635,who wrote the touch of the master's hand,Myra Brooks Welch,15,1,1.0
636,when was the road to key west built,Completed in 1912,15,0,0.0
637,who won the champions league twenty20 in 2013,Mumbai Indians,22,1,1.0
638,who does robert de niro play in the godfather part 2,Vito Corleone,11,1,1.0
639,how many general officers are there in the us army,231,18,0,0.0
640,what kind of story is the great gatsby,a cautionary tale regarding the American Dream .,6,1,1.0
641,when was the united states postal service started,1792,45,1,1.0
642,the first foreigner to receive bharat ratna was,Khan Abdul Ghaffar Khan,40,1,1.0
643,who did chris pratt play in guardians of the galaxy,Star - Lord,51,1,1.0
644,what occurs at a full moon when the earth is directly between the moon and the sun,A lunar eclipse,39,1,1.0
645,the fundamental laws of motion were formulated by,Newton,30,1,1.0
646,what are the three races to win the triple crown,Belmont Stakes,26,0,0.0
647,what are the three races to win the triple crown,Kentucky Derby,33,0,0.0
648,what are the three races to win the triple crown,Preakness Stakes,7,0,0.0
649,who does the voice of jessie in toy story,Joan Cusack,37,1,1.0
650,what is a pre authorized credit card payment,"the practice within the banking industry of verifying electronic transactions initiated with a debit card or credit card and rendering this balance as unavailable until either the merchant clears the transaction , also called settlement , or the hold `` falls off . ''",15,0,0.0
651,who created the people's republic of china,Mao Zedong,19,1,1.0
652,where is the world fastest roller coaster located,"Ferrari World in Abu Dhabi , United Arab Emirates",13,0,0.0
653,who played claire kincaid on law & order,Jill Hennessy,11,1,1.0
654,who plays amy on the secret life of an american teenager,India Joy Eisley,30,0,0.0
655,when does season 6 of house of cards,"November 2 , 2018",12,1,1.0
656,who sings waiting for the world to change,John Mayer,13,1,1.0
657,who won season 8 america's next top model,Jaslene Gonzalez,33,1,1.0
658,who plays mimi on the drew carey show,Kathy Kinney,25,1,1.0
659,where is the high court of kerala located,Kochi,13,1,1.0
660,who played rodrick in diary of a wimpy kid,Devon Bostick,6,0,0.0
661,who sang i could not ask for more first,Edwin McCain,48,1,1.0
662,how many variations of power rangers are there,20 different themed series,9,1,1.0
663,who is going to host the 2024 olympics,"Paris , France",4,1,1.0
664,who are the speakers of in flanders fields,the dead,8,1,1.0
665,when was the last time the atlanta falcons were in the super bowl,Super Bowl LI,30,1,1.0
666,what notes are in the key of d,"D major ( or the key of D ) is a major scale based on D , consisting of the pitches D , E , F ♯ , G , A , B , and C ♯ . Its key signature consists of two sharps . Its relative minor is B minor and its parallel minor is D minor .",11,0,0.0
667,who plays william in pirates of the caribbean,Orlando Bloom,18,0,0.0
668,what happens at the end of all the bright places,"Violet going swimming by herself in the Blue Hole , where she went swimming with Finch , bringing her a sense of peace",16,1,1.0
669,where did get the hell outta dodge come from,"the drama series , Gunsmoke",24,1,1.0
670,a battle fought between amalgamated association of iron and steel union workers and guards,"The Homestead strike , also known as the Homestead Steel strike , Pinkerton rebellion , or Homestead massacre",47,0,0.0
671,what year did treat her like a lady come out,"May 3 , 1984",50,1,1.0
672,who is in the finals of so you think you can dance,Koine Iwasaki,32,0,0.0
673,who is in the finals of so you think you can dance,Lex Ishimoto,21,0,0.0
674,where was i still know what you did last summer filmed,California,23,1,1.0
675,where was i still know what you did last summer filmed,Mexico,22,1,1.0
676,what is the first book of the 5th wave series,The 5th Wave,19,1,1.0
677,where does the word tattoo come from and what does it mean,"a loanword from the Samoan word tatau , meaning `` to strike ''",34,1,1.0
678,when did the term globalization come into use,1970s,36,1,1.0
679,who's the devil wears prada based on,Wintour,15,1,1.0
680,when did the wreck of the edmund fitzgerald happen,"November 10 , 1975",13,1,1.0
681,who sings these boots are made for walkin,Nancy Sinatra,23,1,1.0
682,where was keep it in the closet filmed,"Salton Sea , California",5,1,1.0
683,how many episodes will prison break season 5 have,9 episodes,42,1,1.0
684,this type of it application control ensures that data is free from errors at the point of collection,Data cleansing,35,0,0.0
685,when does agents of shield come back on 2018,"May 18 , 2018",23,0,0.0
686,when did rocky horror picture show come out,1975,17,1,1.0
687,when did charles dickens publish a christmas carol,1843,9,1,1.0
688,when was the first commercial mobile phone released,1949,29,0,0.0
689,who does madonna play in a league of their own,taxi dancer `` All the Way '' Mae Mordabito,6,1,1.0
690,when did master p play for the toronto raptors,1999 pre-season,6,0,0.0
691,who does cameron boyce play on jake and the neverland pirates,Jake,35,1,1.0
692,where did dami im come in eurovision 2017,second place,26,1,1.0
693,where does the henderson last name come from,"patronymic form of the name Hendry , which is a Scottish form of Henry",29,0,0.0
694,who does ariel winter voice on phineas and ferb,Gretchen,9,1,1.0
695,why did the allies want to defeat germany first,Germany -- considered the greatest threat to Great Britain,9,0,0.0
696,organization that is owned and operated by its members,mutual,18,1,1.0
697,who is the owner of phoenix mall pune,Phoenix Mills Limited,10,1,1.0
698,who is the current lieutenant governor of saskatchewan,W. Thomas Molloy,17,1,1.0
699,what is the advantage of making canoes that are light,easier to carry,5,1,1.0
700,where does the term dead end come from,French,16,1,1.0
701,when did the berlin wall start to come down,13 June 1990,24,1,1.0
702,who sang take it to the limit for the eagles,Randy Meisner,7,1,1.0
703,when did women get the right to vote in the us,"August 26 , 1920",26,0,0.0
704,who's running for the governor of california,John H. Cox,4,0,0.0
705,who's running for the governor of california,Gavin Newsom,16,0,0.0
706,when were verses and chapters added to the bible,the early 13th century,11,1,1.0
707,when was figure skating introduced to the olympics,1908,11,1,1.0
708,what are the original inhabitants of a region or country called,Indigenous peoples,14,0,0.0
709,who sang the original i can see clearly now the rain has gone,Johnny Nash,33,1,1.0
710,who plays lucy on the big bang theory,Micucci,37,0,0.0
711,who plays the role of the black panther,Chadwick Boseman,22,1,1.0
712,when was the last time roe v wade was challenged,2016,21,1,1.0
713,a star is born 2018 about what singer,"Ally , a waitress and singer - songwriter",13,0,0.0
714,a star is born 2018 about what singer,"Jackson Maine , a famous country music singer",16,0,0.0
715,where does the first home alone take place,Chicago,22,0,0.0
716,of the house is chosen from the majority party and leads the house of representatives,the Speaker,40,1,1.0
717,who played the german soldier on laugh in,Arthur Stanton Eric `` Arte '' Johnson,7,0,0.0
718,where is most of earths fresh water found,in ice caps,12,1,1.0
719,who plays john in meet me in st louis,Tom Drake,14,1,1.0
720,who played aunt esther on sanford and son,LaWanda Page,9,1,1.0
721,when does who do you think you are return in 2018,"May 21 , 2018",26,1,1.0
722,how many episodes are in seraph of the end season 2,12,14,1,1.0
723,where is the most lightning strikes in the world,near the small village of Kifuka in the mountains of eastern Democratic Republic of the Congo,23,0,0.0
724,who discovered sea route from europe to america,Leif Erikson,24,0,0.0
725,who discovered sea route from europe to america,Columbus,22,1,1.0
726,when did call of duty ww2 come out,"November 3 , 2017",34,1,1.0
727,how much does a golf cart weigh with batteries,"900 pounds ( 410 kg ) to 1,000 pounds ( 450 kg )",18,1,1.0
728,when does the new season of love and hip hop new york start,"October 30 , 2017",39,1,1.0
729,when do we celebrate the modern olympic games,every four years,8,1,1.0
730,why does snake eyes not show his face,Snake Eyes ' face was severely disfigured in a helicopter explosion,16,1,1.0
731,who played the vulcan on star trek enterprise,Jolene Blalock,7,0,0.0
732,where does the song london bridges falling down come from,"It deals with the depredations of London Bridge and attempts , realistic or fanciful , to repair it . It may date back to bridge rhymes and games of the Late Middle Ages , but the earliest records of the rhyme in English are from the seventeenth century .",27,1,1.0
733,who does anakin skywalker fall in love with,Padmé Amidala,29,1,1.0
734,who was the original singer of i shot the sheriff,The Wailers,8,1,1.0
735,who is killing teresa in happy death day,Lori,17,1,1.0
736,what is another name for the red sea,Erythraean Sea,9,1,1.0
737,when does nathan find out about chuck and blair,13th episode,23,0,0.0
738,where is epithelial tissue located in the body,Epithelial tissues line the cavities and surfaces of blood vessels and organs throughout the body .,23,0,0.0
739,who sang the song in the year 25 25,American pop - rock duo of Zager and Evans,7,0,0.0
740,how many sailors survived the sinking of the uss indianapolis,317,28,1,1.0
741,how many songs did lennon and mccartney write,approximately 180,10,1,1.0
742,who starred in the original orient express movie,Wendy Hiller,6,1,1.0
743,who starred in the original orient express movie,Ingrid Bergman,18,1,1.0
744,who starred in the original orient express movie,Albert Finney,23,1,1.0
745,who starred in the original orient express movie,Sean Connery,15,1,1.0
746,who starred in the original orient express movie,John Gielgud,10,1,1.0
747,who starred in the original orient express movie,Vanessa Redgrave,20,1,1.0
748,who starred in the original orient express movie,Michael York,10,1,1.0
749,who starred in the original orient express movie,Jacqueline Bisset,16,1,1.0
750,who starred in the original orient express movie,Anthony Perkins,24,1,1.0
751,who is the song you're so vain referring to,"refers to three men , only one of whom she has named publicly , actor Warren Beatty",14,1,1.0
752,who wrote if i never sing another song,Don Black,15,0,0.0
753,what is the main language in czech republic,Czech,24,1,1.0
754,what color do you wear on st joseph's day,red,31,1,1.0
755,where did merle go in the walking dead,"the community of Woodbury , Georgia",16,1,1.0
756,who did the original version of handbags and gladrags,Chris Farlowe,21,1,1.0
757,who plays bob duncan in good luck charlie,Eric Allan Kramer,7,1,1.0
758,who played young tom riddle in harry potter,Hero Beauregard Fiennes Tiffin,15,0,0.0
759,what football team is going to las vegas,Oakland Raiders,21,1,1.0
760,who was cast as alex in the big chill,Kevin Costner,9,1,1.0
761,what was the basic idea behind the anaconda plan,"emphasized a Union blockade of the Southern ports , and called for an advance down the Mississippi River to cut the South in two",6,1,1.0
762,what general led the confederate army into pennsylvania,Robert E. Lee,5,1,1.0
763,where are the incisions made for a vasectomy,on each side of the scrotum at a location that allows the surgeon to bring each vas deferens to the surface for excision,31,1,1.0
764,what's the name of the donkey on shrek,Donkey,8,1,1.0
765,where is the walk of fame in california,"along 15 blocks of Hollywood Boulevard and three blocks of Vine Street in Hollywood , California",28,1,1.0
766,what is the significance of april 27 1994 in south africa,first post-apartheid elections,6,0,0.0
767,when did the manhattan project began and end,From 1942 to 1946,47,1,1.0
768,who is playing susan banks on days of our lives august 2018,Stacy Haiduk,34,1,1.0
769,who sang the song cotton fields back home,Huddie Ledbetter,30,1,1.0
770,role of epithelial tissue in the digestive system,absorbing helpful substances and providing a barrier against harmful substances,26,0,0.0
771,what is the total population of new zealand,"4,693,000",20,0,0.0
772,who is mr kurtz in heart of darkness,A trader of ivory in Africa and commander of a trading post,9,1,1.0
773,when did planet of the apes come out,"July 14 , 2017",19,1,1.0
774,who is recently appointed as union railway minister,Piyush Goyal,17,0,0.0
775,who sings i want to talk about me,Toby Keith,54,1,1.0
776,when was the last time texas was a democratic state,the mid-1990s,10,0,0.0
777,the medical term for removal of the stapes is,stapedectomy,8,1,1.0
778,who does the voice of jake the dog,John William DiMaggio,7,0,0.0
779,who sings with the rolling stones gimme shelter,Merry Clayton,10,1,1.0
780,meaning of the song helena by my chemical romance,about the band members Gerard Way and Mikey Way 's late grandmother,6,0,0.0
781,who sings i don't want to lose your love tonight,American country music artist Crystal Gayle,32,0,0.0
782,who sings i don't want to lose your love tonight,John O'Banion,44,0,0.0
783,who is the president of iowa state university,Wendy Wintersteen,45,1,1.0
784,what would the winner of the greek theater contest win,a wreath of ivy,23,0,0.0
785,what was the capital city of the aztec empire,Tenochtitlan,39,1,1.0
786,what is the southern most point in canada,Middle Island,31,1,1.0
787,where is the college softball world series played,Oklahoma City,30,1,1.0
788,who played jessica in man from snowy river,Sigrid Thornton,15,1,1.0
789,who had the rights to the krays book,Pan Books,8,0,0.0
790,who had the rights to the krays book,Sidgwick & Jackson,14,0,0.0
791,where did andy go at the end of shawshank redemption,Zihuatanejo,31,1,1.0
792,what is the reason of war between saudi and yemen,influence the outcome of the Yemeni Civil War in favour of the government of President Abdrabbuh Mansur Hadi,11,1,1.0
793,what is mcdonald's special sauce on the big mac,"store - bought mayonnaise , sweet pickle relish and yellow mustard whisked together with vinegar , garlic powder , onion powder and paprika",21,1,1.0
794,mukkurthi national park in nilgiri hills is the sanctuary for,the Nilgiri tahr,12,1,1.0
795,who played charlie conway in the mighty ducks,Joshua Browning Carter Jackson,7,0,0.0
796,who is the greatest horse that ever lived,Secretariat,18,0,0.0
797,who played the original michael myers on halloween,"Nick Castle for most of the film , with Tony Moran and Tommy Lee Wallace substituting in during the final scenes",21,1,1.0
798,when does carlos find out about the affair,the first season finale,32,0,0.0
799,when did mamma mia film first come out,"June 30 , 2008",19,1,1.0
800,who is the real winner of 1965 war,India,13,0,0.0
801,when did jazz became popular in the united states,a period in the 1920s and 1930s,41,0,0.0
802,what is the cut for the masters golf,within 10 strokes of the leader 's score,9,1,1.0
803,what is the cut for the masters golf,in the top 50 places ( ties counting ),7,1,1.0
804,anjali tarak mehta ka ooltah chashmah real name,Neha Mehta,14,0,0.0
805,what is a curate in the anglican church,"priests ( or , in the first year , transitional deacons ) who are in their first post after ordination ( usually for four years ) , and are completing their training ( not unlike an apprenticeship )",7,1,1.0
806,who is the lead singer in five finger death punch,Ivan L. Moody,19,0,0.0
807,what physical effect causes circulation in the atmosphere of jupiter,convection,12,1,1.0
808,who holds the record for the longest field goal,Matt Prater,6,1,1.0
809,when did the book of eli come out,2010,28,1,1.0
810,how many songs did the grateful dead play,songs documented to have been played by the band exceeds 500,9,1,1.0
811,when did hearst castle became a state park,1954,10,1,1.0
812,what is the population of eagle river wi,"1,398",20,1,1.0
813,how many terminals are there at vienna airport,four,9,1,1.0
814,who wins at the end of friday night lights,Dallas Carter High School,12,1,1.0
815,what is the most common cause of depurination,the presence of endogenous metabolites undergoing chemical reactions,10,1,1.0
816,who plays zoe barnes on house of cards,Kate Rooney Mara,21,0,0.0
817,where did zeus spend most of his time,Mount Olympus,8,1,1.0
818,when do you have a high pressure zone,where the atmospheric pressure at the surface of the planet is greater than its surrounding environment,38,1,1.0
819,what is the end of the bone called,epiphysis,10,0,0.0
820,where did the name montgomery biscuits come from,"from over 4,000 entries in a `` name the team '' contest , due in part to tying into indigenous affiliation and potential marketing and pun possibilities ( for example , `` Hey , Butter , Butter , Butter '' or the team 's souvenir store , the `` Biscuit Basket '' )",8,1,1.0
821,the chemicals produced in plants which stimulate growth are called,Plant hormones,15,0,0.0
822,who sang can't live without you originally,Badfinger,8,1,1.0
823,where did a river runs through it take place,"Missoula , Montana",14,1,1.0
824,which congressional act was passed to end the abuses of the spoils system,the Pendleton Act,26,1,1.0
825,how much wood could a woodchuck chuck tongue twister lyrics,`` How much wood would a woodchuck chuck if a woodchuck could chuck wood ? '',17,1,1.0
826,where did a nuclear reactor explode in ukraine,"at the Chernobyl Nuclear Power Plant near Pripyat , a town in northern Ukrainian Soviet Socialist Republic which was part of the Soviet Union ( USSR )",12,0,0.0
827,when will olaf's frozen adventure be on dvd,"December 7 , 2017",5,1,1.0
828,where is the us embassy in mexico located,"Paseo de la Reforma , Colonia Cuauhtémoc , Mexico City",19,1,1.0
829,how long is the edolas arc in fairy tail,24 episodes,5,1,1.0
830,who is the winner of america's got talent 2016,Grace VanderWaal,8,1,1.0
831,what was the vote of texas vs johnson case,5 -- 4,13,1,1.0
832,who won the grey cup this year 2017,the Toronto Argonauts,9,1,1.0
833,where does the xbox 360 controller plug in,an attached USB hub,28,1,1.0
834,where does the xbox 360 controller plug in,any of the USB ports on the console,9,1,1.0
835,what's the hottest natural pepper in the world,the ghost pepper,9,0,0.0
836,where does the head of the rib attach,the spine,17,1,1.0
837,where does the cape may ferry go to,"Lewes , Delaware",5,1,1.0
838,where does the song that never ends come from,"Lamb Chop 's Sing - Along , Play - Along",24,1,1.0
839,when does agt season 13 start on tv,"May 29 , 2018",11,1,1.0
840,what does barium do in a ct scan,improve visualization,11,0,0.0
841,who plays ray in star wars the last jedi,Daisy Ridley,10,1,1.0
842,when did the i pad air 2 come out,October 2014,33,0,0.0
843,who is the leader of the united kingdom 2017,Theresa May,7,1,1.0
844,when was the last time someone had smallpox,26 October 1977,37,1,1.0
845,what is the third level of government in australia,Local government,14,1,1.0
846,who is the main character in gone with the wind,Scarlett O'Hara,14,1,1.0
847,how deep can man dive in the ocean,300 m ( 980 ft ),5,1,1.0
848,who termed uprising of 1857 as the first war of independence,Vinayak Damodar Savarkar,7,1,1.0
849,what is the purpose of the book of leviticus,"ritual , legal and moral practices",12,1,1.0
850,who is.the mother in how i met your mother,Tracy McConnell,5,1,1.0
851,who is the patron saint for lost items,"Saint Anthony of Padua ( Portuguese : St. António de Lisboa ) , born Fernando Martins de Bulhões ( 15 August 1195 -- 13 June 1231 ) , also known as Anthony of Lisbon",5,0,0.0
852,bridget jones diary who does she end up with,Mark,7,1,1.0
853,when is the festival of lights in thailand,on the evening of the full moon of the 12th month in the traditional Thai lunar calendar,18,0,0.0
854,where is icc world cup 2019 is going to be held,Wales,22,1,1.0
855,where is icc world cup 2019 is going to be held,England,8,1,1.0
856,what is the population of san luis obispo,"45,119 at the 2010 census",6,1,1.0
857,who is the female singer in all that remains,Aaron `` Bubble '' Patrick,17,0,0.0
858,who won the case in mueller v. oregon,Oregon,24,1,1.0
859,where does the movie monster trucks take place,North Dakota,9,1,1.0
860,who sings i got soul but i'm not a soldier,American rock band The Killers,24,0,0.0
861,when did the north and south korea war start,on 25 June 1950,18,0,0.0
862,what is the person who does an autopsy,pathologist,4,0,0.0
863,where is most water in the body found,various body fluids,6,1,1.0
864,how many season of breakout kings are there,two,13,1,1.0
865,who owns the rights to the twilight zone,Warner Bros.,11,1,1.0
866,when is the movie a wrinkle in time coming out,"March 9 , 2018",22,0,0.0
867,who voiced red hood in under the red hood,Jensen Ackles,5,1,1.0
868,who fired the first shot at fort sumter,Lt. Henry S. Farley,13,0,0.0
869,who is the dancer in thinking out loud music video,Brittany Cherry,23,1,1.0
870,who is the dancer in thinking out loud music video,Sheeran,19,1,1.0
871,what is the premium amount for the pradhan mantri suraksha bima yojana,annual premium of ₹ 12 ( 19 ¢ US ) exclusive of taxes,12,1,1.0
872,why is the advent wreath made of evergreen branches,"evergreen leaves , which `` represent the hope of eternal life brought by Jesus Christ",14,1,1.0
873,where does the new it movie take place,"Derry , Maine",20,0,0.0
874,who sings the national anthem for the detroit red wings,Karen Newman,20,0,0.0
875,which mountains would you cross to travel from northern italy to switzerland,The Alps,38,0,0.0
876,what are the 4 climate zones of africa,subtropical highland climate,23,1,1.0
877,what are the 4 climate zones of africa,equatorial climate,16,1,1.0
878,what are the 4 climate zones of africa,tropical wet and dry climate,13,1,1.0
879,what are the 4 climate zones of africa,tropical monsoon climate,9,1,1.0
880,what are the 4 climate zones of africa,semi-desert climate,4,1,1.0
881,what are the 4 climate zones of africa,desert climate,7,1,1.0
882,when did the cubs win the world series last,2016,14,1,1.0
883,star trek voyager 7 of 9 first episode,the first episode of the fourth season,23,0,0.0
884,who appoints the chairman of union public service commission,the President,19,1,1.0
885,what are the dots on a domino called,spots,20,1,1.0
886,who is the girl in wake me up when september ends video,Evan Rachel Wood,27,1,1.0
887,how many states border an ocean in the united states,twenty - three,15,0,0.0
888,how many wars has pakistan fought with india,four,7,1,1.0
889,who does the canadian charter of rights apply to,political rights to Canadian citizens and civil rights of everyone in Canada,36,1,1.0
890,who wrote the song the very thought of you,Ray Noble,6,1,1.0
891,who created the excise tax as part of his financial plan,"Alexander Hamilton , first Secretary of the Treasury",43,0,0.0
892,an existing rock that changes during metamorphism to create a metamorphic rock is called,protolith,12,1,1.0
893,where did the chicago bulls play before the united center,Chicago Stadium,44,1,1.0
894,what was the purpose of the last challenger mission,to carry out several lessons from space and observe Halley 's Comet,6,0,0.0
895,where did the industrial revolution take place in britain,stretched from the Scottish lowlands to the valleys of southern Wales,20,0,0.0
896,what does nfc and afc stand for in the nfl,American Football Conference,34,0,0.0
897,what does nfc and afc stand for in the nfl,National Football Conference,4,1,1.0
898,different types of oils that can be used with an oio lens,synthetic immersion oils,16,0,0.0
899,different types of oils that can be used with an oio lens,cedar tree oil,11,0,0.0
900,when was harambe brought to the cincinnati zoo,"September 18 , 2014",4,1,1.0
901,write the name of the fuels commonly used for cooking,LP gas,15,1,1.0
902,write the name of the fuels commonly used for cooking,Kerosene,11,1,1.0
903,where was gimme gimme gimme filmed,"in Studio 2 at The London Studios , South Bank , London",14,0,0.0
904,where does the plastic go on tide pods,The packaging,27,0,0.0
905,what happened to mackenzie's daughter in the shack,murdered,13,1,1.0
906,what happened to mackenzie's daughter in the shack,abducted,18,1,1.0
907,who is one of the founding fathers of symbolic interactionism,George Herbert Mead,7,1,1.0
908,percentage of irrigated land in india is about,47.7 %,19,1,1.0
909,when did the little mermaid first come out,"November 17 , 1989",7,0,0.0
910,who did south africa play in 1995 rugby world cup,New Zealand,11,1,1.0
911,when was the universal declaration of human rights created,10 December 1948,15,1,1.0
912,who wrote the famous song say it loud i'm black and im proud,Alfred `` Pee Wee '' Ellis,32,1,1.0
913,where does cuba lie in relation to the united states,south of the Straits of Florida,30,0,0.0
914,who sings there's no smoke without a fire,Bad Company,8,1,1.0
915,section 7 of copland's appalachian spring is in,CBS Reports,5,1,1.0
916,where do all sons and daughters go to church,Journey Church in Franklin,20,1,1.0
917,agitator wash technique is used in which type of washing machine,top load washing machine,11,0,0.0
918,where is the college football national championship game,"Levi 's Stadium in Santa Clara , California",18,0,0.0
919,where is the liver located in a human body,"right upper quadrant of the abdomen , below the diaphragm",6,1,1.0
920,who won the last mens cricket world cup,Australia,14,1,1.0
921,what is stacey's surname in gavin and stacey,West,14,1,1.0
922,where did they film kong skull island at,various locations around Vietnam,13,1,1.0
923,where did they film kong skull island at,Hawaii,20,1,1.0
924,who has the power to issue a subpoena,the chairman,19,0,0.0
925,who has the power to issue a subpoena,the full committee,23,0,0.0
926,who has the power to issue a subpoena,permit subcommittees,9,0,0.0
927,who won the first season of the voice,Javier Colon,14,0,0.0
928,what is the tallest monument in the united states,Gateway Arch,9,0,0.0
929,when did the first fidget spinners come out,1993,6,1,1.0
